lat,lon,weight
-57.50000000,-72.50000000,57.172339
-57.50000000,-67.50000000,455.344796
-52.50000000,-77.50000000,26.863235
-52.50000000,-72.50000000,224981.100507
-52.50000000,-67.50000000,314886.152444
-52.50000000,-62.50000000,169.141111
-52.50000000,-57.50000000,3339.241857
-47.50000000,-77.50000000,45.802660
-47.50000000,-72.50000000,133331.856598
-47.50000000,-67.50000000,379410.398126
-47.50000000,167.50000000,169615.620434
-47.50000000,172.50000000,156556.042711
-42.50000000,-177.50000000,822.824148
-42.50000000,-72.50000000,1392234.575826
-42.50000000,-67.50000000,316970.756612
-42.50000000,-62.50000000,119143.424958
-42.50000000,142.50000000,1069.192530
-42.50000000,147.50000000,584584.860765
-42.50000000,167.50000000,29039.260847
-42.50000000,172.50000000,1289200.467788
-42.50000000,177.50000000,338245.092478
-37.50000000,-72.50000000,4758588.253400
-37.50000000,-67.50000000,1055877.990420
-37.50000000,-62.50000000,1625267.148847
-37.50000000,-57.50000000,1977049.350659
-37.50000000,117.50000000,21730.604622
-37.50000000,137.50000000,446197.613401
-37.50000000,142.50000000,3136498.882042
-37.50000000,147.50000000,4567429.857665
-37.50000000,152.50000000,100678.349766
-37.50000000,172.50000000,2067206.971782
-37.50000000,177.50000000,1176301.701826
-32.50000000,-82.50000000,18.267979
-32.50000000,-77.50000000,1029.419800
-32.50000000,-72.50000000,11699839.510664
-32.50000000,-67.50000000,3468493.868028
-32.50000000,-62.50000000,8249998.220291
-32.50000000,-57.50000000,20764001.416864
-32.50000000,-52.50000000,3609769.227859
-32.50000000,17.50000000,6631588.828598
-32.50000000,22.50000000,1480246.439800
-32.50000000,27.50000000,8052307.845715
-32.50000000,32.50000000,1478485.177287
-32.50000000,112.50000000,1183.612295
-32.50000000,117.50000000,2561460.883626
-32.50000000,122.50000000,52139.954531
-32.50000000,127.50000000,85.815178
-32.50000000,132.50000000,7330.150826
-32.50000000,137.50000000,1321757.135053
-32.50000000,142.50000000,127228.203842
-32.50000000,147.50000000,467361.637704
-32.50000000,152.50000000,7201012.171988
-32.50000000,157.50000000,469.819863
-32.50000000,172.50000000,6584.992435
-27.50000000,-142.50000000,456.437191
-27.50000000,-132.50000000,20.635229
-27.50000000,-107.50000000,8740.020097
-27.50000000,-72.50000000,795385.623724
-27.50000000,-67.50000000,2526497.112043
-27.50000000,-62.50000000,1834313.129430
-27.50000000,-57.50000000,8428987.789657
-27.50000000,-52.50000000,13152743.000459
-27.50000000,-47.50000000,10389878.754819
-27.50000000,12.50000000,6.419172
-27.50000000,17.50000000,221177.506243
-27.50000000,22.50000000,1615471.913504
-27.50000000,27.50000000,27953725.199051
-27.50000000,32.50000000,17810117.039715
-27.50000000,42.50000000,69836.303887
-27.50000000,47.50000000,850655.864875
-27.50000000,112.50000000,51067.442795
-27.50000000,117.50000000,7225.259959
-27.50000000,122.50000000,3918.660774
-27.50000000,127.50000000,1816.874853
-27.50000000,132.50000000,5992.763351
-27.50000000,137.50000000,438.490805
-27.50000000,142.50000000,1768.319108
-27.50000000,147.50000000,45022.059760
-27.50000000,152.50000000,4657507.077568
-27.50000000,167.50000000,2306.881230
-22.50000000,-177.50000000,77297.450758
-22.50000000,-172.50000000,5829.987010
-22.50000000,-157.50000000,10577.833463
-22.50000000,-152.50000000,3092.842661
-22.50000000,-147.50000000,3122.192281
-22.50000000,-142.50000000,9.978117
-22.50000000,-137.50000000,314.416229
-22.50000000,-132.50000000,1528.679925
-22.50000000,-72.50000000,779701.873865
-22.50000000,-67.50000000,2072016.498042
-22.50000000,-62.50000000,1448089.324849
-22.50000000,-57.50000000,1655919.262068
-22.50000000,-52.50000000,9753712.114779
-22.50000000,-47.50000000,47705899.348849
-22.50000000,-42.50000000,24231985.351131
-22.50000000,12.50000000,237280.128446
-22.50000000,17.50000000,995419.727474
-22.50000000,22.50000000,293706.386131
-22.50000000,27.50000000,6845096.627703
-22.50000000,32.50000000,9127888.840420
-22.50000000,37.50000000,1380568.863070
-22.50000000,42.50000000,2404275.978028
-22.50000000,47.50000000,8639689.716978
-22.50000000,57.50000000,2102332.515205
-22.50000000,112.50000000,8788.768819
-22.50000000,117.50000000,56829.209536
-22.50000000,122.50000000,1649.245466
-22.50000000,127.50000000,1602.677413
-22.50000000,132.50000000,36145.679785
-22.50000000,137.50000000,21885.374310
-22.50000000,142.50000000,12050.173125
