E_safe_pct,Starlink 1584 P_cut_W,Kuiper 784 P_cut_W,OneWeb 648 P_cut_W,Iridium 66 P_cut_W
90,6.29,6.14,6.75,6.75
80,16.57,16.28,17.49,17.49
70,26.86,26.42,28.24,28.24
60,37.14,36.56,38.99,38.99
50,47.43,46.70,49.73,49.73
40,57.71,56.85,60.48,60.48
30,68.00,66.99,71.22,71.22
20,78.29,77.13,81.97,81.97
10,88.57,87.27,92.72,92.72
0,98.86,97.41,103.46,103.46
