constellation,safe_battery_pct,eclipse_duration_stat,eclipse_duration_s,p_cut_w,usable_energy_j,idle_energy_j
Starlink 1584,90,p90,2130,6.14,21600.00,8520.00
Kuiper 784,90,p90,2130,6.14,21600.00,8520.00
OneWeb 648,90,p90,2070,6.43,21600.00,8280.00
Iridium 66,90,p90,2100,6.29,21600.00,8400.00
Starlink 1584,80,p90,2130,16.28,43200.00,8520.00
Kuiper 784,80,p90,2130,16.28,43200.00,8520.00
OneWeb 648,80,p90,2070,16.87,43200.00,8280.00
Iridium 66,80,p90,2100,16.57,43200.00,8400.00
Starlink 1584,70,p90,2130,26.42,64800.00,8520.00
Kuiper 784,70,p90,2130,26.42,64800.00,8520.00
OneWeb 648,70,p90,2070,27.30,64800.00,8280.00
Iridium 66,70,p90,2100,26.86,64800.00,8400.00
Starlink 1584,60,p90,2130,36.56,86400.00,8520.00
Kuiper 784,60,p90,2130,36.56,86400.00,8520.00
OneWeb 648,60,p90,2070,37.74,86400.00,8280.00
Iridium 66,60,p90,2100,37.14,86400.00,8400.00
Starlink 1584,50,p90,2130,46.70,108000.00,8520.00
Kuiper 784,50,p90,2130,46.70,108000.00,8520.00
OneWeb 648,50,p90,2070,48.17,108000.00,8280.00
Iridium 66,50,p90,2100,47.43,108000.00,8400.00
Starlink 1584,40,p90,2130,56.85,129600.00,8520.00
Kuiper 784,40,p90,2130,56.85,129600.00,8520.00
OneWeb 648,40,p90,2070,58.61,129600.00,8280.00
Iridium 66,40,p90,2100,57.71,129600.00,8400.00
Starlink 1584,30,p90,2130,66.99,151200.00,8520.00
Kuiper 784,30,p90,2130,66.99,151200.00,8520.00
OneWeb 648,30,p90,2070,69.04,151200.00,8280.00
Iridium 66,30,p90,2100,68.00,151200.00,8400.00
Starlink 1584,20,p90,2130,77.13,172800.00,8520.00
Kuiper 784,20,p90,2130,77.13,172800.00,8520.00
OneWeb 648,20,p90,2070,79.48,172800.00,8280.00
Iridium 66,20,p90,2100,78.29,172800.00,8400.00
Starlink 1584,10,p90,2130,87.27,194400.00,8520.00
Kuiper 784,10,p90,2130,87.27,194400.00,8520.00
OneWeb 648,10,p90,2070,89.91,194400.00,8280.00
Iridium 66,10,p90,2100,88.57,194400.00,8400.00
Starlink 1584,0,p90,2130,97.41,216000.00,8520.00
Kuiper 784,0,p90,2130,97.41,216000.00,8520.00
OneWeb 648,0,p90,2070,100.35,216000.00,8280.00
Iridium 66,0,p90,2100,98.86,216000.00,8400.00
